,Item Name,Comments,Price
0,MSI GeForce RTX 2080 GAMING X TRIO Video Card,"+ $10 off w/ promo code VGASAV38V, limited offer",$689.99
1,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$509.99
2,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,,$799.95
3,"GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GD Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$549.99
4,"GIGABYTE GeForce GTX 1650 OC 4G Graphics Card, 2 x WINDFORCE Fans, 4GB 128-Bit GDDR5, GV-N1650OC-4GD Video Card",,$173.00
5,"GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N206SWF2OC-8GD Video Card","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$399.99
6,"EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card, Dual HDB Fans & RGB LED",,"$1,119.90"
7,"EVGA GeForce RTX 2080 BLACK EDITION GAMING, 08G-P4-2081-KR, 8GB GDDR6, Dual HDB Fans & RGB LED","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$699.99
8,ASUS ROG STRIX GeForce GTX 1060 DirectX 12 ROG-STRIX-GTX1060-A6G-GAMING 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,"+ $10 off w/ promo code VGASAV38S, limited offer",$249.99
9,"EVGA GeForce RTX 2060 SUPER SC ULTRA GAMING, 08G-P4-3067-KR, 8GB GDDR6, Dual HDB Fans, Metal Backplate","+ $10 off w/ promo code EMCTETB35, limited offer",$409.99
10,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,"+ $40 off w/ promo code EMCTEUT22, limited offer",$489.99
11,ASUS ROG STRIX GeForce RTX 2080 Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Graphics Card (ROG-STRIX-RTX2080-O8G-GAMING),"Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$799.99
12,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M 6GB 192-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,"Free Dino HDMI adapter w/ purchase, limited offer",$209.99
13,"ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, IceStorm 2.0, ZT-T20600F-10M","+ $30 off w/ promo code 72SEPSL24, limited offer",$349.99
14,XFX Radeon RX 5700 XT DirectX 12 RX-57XT8MFD6 8GB 256-Bit GDDR6 PCI Express 4.0 Video Card,"Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$449.99
15,"XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+, 8GB 256-bit GDDR5, DX12 VR Ready, Double Dissipation, Dual BIOS, PCI-E AMD Graphics Card (RX-580P828D6)","Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$179.99
16,"ZOTAC GAMING GeForce RTX 2060 SUPER MINI 8GB GDDR6 256-bit 14 Gbps Gaming Graphics Card, IceStorm 2.0, Super Compact, ZT-T20610E-10M","Get Control + Wolfenstein: Youngblood w/ purchase, limited offer",$399.99
17,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,"Limited time offer, ends 09/15",$179.99
18,Sapphire Radeon PULSE RX 590 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate,"+ $10 off w/ promo code VGAPCJP279, limited offer",$199.99
19,"Sapphire PULSE Radeon RX 570 4GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI), 100412P4GOCL","+ $15 off w/ promo code VGAPCJP292, limited offer",$134.99
20,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,"Get 3 months of Xbox Game Pass for PC with purchase, limited offer",$409.99
