,Item Name,Comments,Price
0,"Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Home 64-Bit",,$469.99
1,"ASUS VivoBook  AMD A9-9425 Dual Core Processor (Boost up to 3.7 GHz) with Radeon R5 Graphics, 8 GB DDR4 RAM, 256 GB SSD, 14"" FHD Display Windows 10, F441BA-DS95 Light and Powerful Laptop,",,$359.99
2,"ASUS VivoBook Slim and Portable Laptop, 15.6"" FHD, Intel Core i7-8565U CPU, 8 GB DDR4, 256 GB SSD + 1 TB HDD, NanoEdge, NVIDIA GeForce MX150, Gun Metal Grey, Windows 10, S530FN-BH73",,$849.99
3,"DELL Laptop XPS XPS9370-7002SLV Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 13.3"" Windows 10 Home 64-bit",,$998.00
4,"ASUS ZenBook UX533 Ultra Slim Compact Laptop, 15.6"" FHD 4-Way NanoEdge, Intel Core i7-8565U, 16GB DDR4, 1TB PCIe SSD, GeForce GTX 1050, IR Camera, TPM, Windows 10 Pro, Icicle Silver, UX533FD-NS76 Newe",,"$1,199.99"
5,"Acer Aspire 3 15.6"" - AMD Ryzen 7 2700U Quad-core (4 Core) 2.20 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Home 64-bit - 1920 x 1080 - A315-41-R14K - NX.GY9AA.014 - Obsidian Black",,$599.99
6,"Lenovo Laptop IdeaPad L340 81LG0011US Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Home 64-bit",,$479.99
7,"Lenovo Laptop IdeaPad L340 81LW000DUS AMD Ryzen 5 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Home 64-bit - OEM",,$479.99
8,"Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Home 64-Bit",,$469.99
9,"ASUS VivoBook  AMD A9-9425 Dual Core Processor (Boost up to 3.7 GHz) with Radeon R5 Graphics, 8 GB DDR4 RAM, 256 GB SSD, 14"" FHD Display Windows 10, F441BA-DS95 Light and Powerful Laptop,",,$359.99
10,"HP Laptop ProBook 450 G6 5YH15UT#ABA Intel Core i7 8th Gen 8565U (1.80 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce MX130 15.6"" Windows 10 Pro 64-bit",,$898.00
11,"Huawei MateBook D Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 1 TB HDD 256 GB SSD NVIDIA GeForce MX150 15.6"" Windows 10 Home 64-bit Laptop - 53010BLA",,$999.99
12,"Lenovo Laptop IdeaPad 530s 81EU000JUS Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce MX150 14.0"" Windows 10 Home 64-Bit",N/A,"$1,104.99"
13,"Lenovo Laptop IdeaPad 330S 81F5001RUS Intel Core i3 8th Gen 8130U (2.20 GHz) 6 GB Memory 1 TB HDD Intel UHD Graphics 620 15.6"" Windows 10 Home 64-bit",N/A,$526.99
14,"MSI Laptop P65 Creator 8RF-442 Intel Core i7 8th Gen 8750H (2.20 GHz) 16 GB Memory 256 GB NVMe SSD NVIDIA GeForce GTX 1070 15.6"" Windows 10 Pro 64-Bit",N/A,"$1,999.00"
15,"MSI Laptop P65 Creator 8RD-021 Intel Core i7 8th Gen 8750H (2.20 GHz) 16 GB Memory 256 GB NVMe SSD NVIDIA GeForce GTX 1050 Ti 15.6"" Windows 10 Pro 64-Bit",N/A,"$1,399.00"
